Program,Subawardee UEI,Capability Domain (D),Primary Output (P),Capability Domain Note,Primary Output Note
DDG,MDH6KH9D4SG7,D3,P3,"Automatic bus-transfer switches, transformers and switch components distribute electrical power.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.power-solutions.com/power-dstr/asco-power-technologies/asco-power-transfer-switches/asco-low-voltage-automatic-transfer-switch/","Automatic bus-transfer-switch assemblies are functional electrical distribution/control equipment.

https://www.se.com/us/en/product-subcategory/89175-automatic-transfer-switches/
https://www.gotpower.com/wp-content/uploads/2024/08/ASCO-series300-power-transfer-switches.pdf
https://www.globalpwr.com/brand/asco/"
DDG,MEMSWT1LFU18,D8,P3,"Helicopter-hangar door systems are specialty access/deck auxiliary machinery.

https://www.jered.com/products/specialty-access-sideport-shell-doors/
https://www.highergov.com/contract-opportunity/ddg-helicopter-hangar-door-parts-n5523623q0176-r-9c695/","The helicopter-hangar door system is a bounded electromechanical door-equipment unit, not a ship zone/module.

https://www.jered.com/products/specialty-access-sideport-shell-doors/"
DDG,MKXMUFJJYLY5,D3,P3,"Naval motor controllers, control components and overload relays are electrical power/motor-control hardware.

https://www.fairbanksmorsedefense.com/solutions/controllers/
https://www.fairbanksmorse.com/hubfs/Terms%20and%20Conditions/Ward%20Leonard/Ward%20Leonard%20DoD%20Quick%20Reference%20Card.pdf","Motor-controller equipment, motors, and associated controls are bounded functional electromechanical units.

https://www.businesswire.com/news/home/20210105005632/en/Fairbanks-Morse-Acquires-Ward-Leonard
https://www.fairbanksmorsedefense.com/
https://man.fas.org/dod-101/sys/ship/weaps/docs/cg_03-91.html"
DDG,MMDRDDVELDX8,D4,P3,"Globe/stop/check and relief valves are shipboard fluid-control components.

https://dantevalve.com/
https://dantevalve.com/blog/naval-valves/
https://dantevalve.com/product/danco-d48duu/","Globe/stop/check and relief-valve assemblies are functional fluid-control units.

https://www.highergov.com/subcontract/N0002418C2307-07687-18
https://dantevalve.com/
https://fsg-53-abrasive-fasteners-hardware.parttarget.com/coil-flat-leaf-wire-springs-SCB83184_SPR-A-14447.html"
DDG,MP5UJHMEHFV1,D5,P0,"Procurement signal ties this UEI to marine HVAC/Johnson Controls equipment.

https://www.tridentllc.com/
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions","The DDG equipment package cannot be distinguished from operating subsidiaries, making the UEI-level handoff unresolved.

https://www.tridentllc.com/
https://www.tridentllc.com/solutions
https://www.jflco.com/portfolio-details/5/lake-shore-systems"
DDG,N5KMLMXEPFM5,D5,P3,"Reverse-osmosis desalination/water-purification systems provide potable/life-support water.

https://www.parker.com/us/en/divisions/water-purification/industries/commercial-marine.html
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf","Reverse-osmosis desalination/water-purification units are functional shipboard water-treatment equipment.

https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf
https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/7873capabilites_bro.pdf"
DDG,N6P1AGPMV456,D4,P3,"Vacuum toilets, blackwater collection and sewage-pumping hardware are sanitary fluid systems.

https://evac.com/solutions/vacuum-collection/
https://govtribe.com/vendors/evac-north-america-inc-dot-47wd8","Vacuum toilets, blackwater collection equipment, and sewage-pumping hardware are functional sanitary-system equipment.

https://govtribe.com/vendors/evac-north-america-inc-dot-47wd8
https://marinevac.com/downloads/EVACcatalogue2016.pdf
https://www.militarytimes.com/2013/03/21/carrier-bush-suffers-widespread-toilet-outages/"
DDG,N9DVRB18H324,D9,P1,"Propulsion shaft forgings/shaft components are supplied by a forging-process specialist.

https://www.ellwoodcityforge.com/
https://www.ellwoodnationalforge.com/capabilities/forging/","Propulsion shaft forgings/shaft components are described as open-die forgings, indicating unfinished forging-stage inputs.

https://www.ellwoodnationalforge.com/capabilities/shafting/
https://www.ellwoodcityforge.com/
https://www.ellwoodgroup.com/markets/marine"
DDG,NL7RNBHWHJQ1,D6,P3,"Secure shipboard terminals, telephones, headsets and electronics are communications systems.

https://www.leonardodrs.com/locations/drs-technologies-canada-ottawa-ontario/
https://www.leonardodrs.com/wp-content/uploads/2023/08/drs-technology-spotlight.pdf","Shipboard terminals, telephones, headsets, and naval communications electronics are functional equipment units, not an integrated comms system.

https://www.usni.org/magazines/proceedings/2006/february/now-hear-if-you-can
https://www.sec.gov/Archives/edgar/data/28630/000104746908007086/a2185895z10-k.htm
https://www.leonardodrs.com/wp-content/uploads/2023/08/drs-catalog-2013-final-online.pdf"
DDG,NQKEVF8KEMP1,D3,P3,"Rugged power-conversion equipment and shipboard power supplies are electrical power hardware.

https://www.leonardodrs.com/locations/naval-electronics-pivotal-power-bedford-nova-scotia/
https://www.leonardodrs.com/what-we-do/our-solutions/power-propulsion/power-conversion-ups/","Shipboard power supplies are functional power-conversion/distribution equipment units.

https://www.naval-technology.com/contractors/maritime-subsystems/pivotal/
https://www.highergov.com/contract/SPE7M025P2403/
https://govtribe.com/vendors/pivotal-power-inc-dot-drs-pivotal-power-38370"
DDG,PJRYS7EFXQD9,D4,P3,"Marine ball and check valves are shipboard piping/fluid-control hardware.

https://www.bnl.com/marine-market/
https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf
https://www.wbparts.com/rfq/4820-01-449-5869.html","Marine ball and check valves are functional piping-control units.

https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf"
DDG,PQGNEEY9W5M3,D6,P3,"Integrated Bridge and Navigation System steering-control hardware is system-level navigation/control.

https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-provide-integrated-bridge-navigation-and
https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-supply-steering-gear-systems-arleigh-burke","The IBNS aft steering-control unit is a bounded control-hardware unit rather than the full integrated navigation/bridge system.

https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-provide-integrated-bridge-navigation-and
https://investor.northropgrumman.com/news-releases/news-release-details/northrop-grumman-supply-steering-gear-systems-arleigh-burke"
DDG,Q35JL9GFCAK3,D4,P3,"Engineered fluid-control valves and manifolds are pressure/piping-system hardware.

https://marotta.com/products/flow-controls/
https://marotta.com/products/flow-controls/shipboard-controls/","Engineered valves/manifolds are delivered as functional fluid-control units.

https://marotta.com/
https://www.marotta.com/capabilities/controls-and-power/
https://www.marotta.com/markets/marine/"
DDG,QGB4RDYJNJT9,D9,P1,"Open-die steel forgings/forged shafting reflect a material-process specialty.

https://www.ellwoodnationalforge.com/capabilities/forging/
https://www.ellwoodnationalforge.com/markets-served/shipbuilding/","Large open-die forgings/forged shafting are forging-stage inputs that require downstream machining/finishing.

https://www.ellwoodnationalforge.com/capabilities/forging/
https://www.ellwoodgroup.com/markets/marine"
DDG,QKJUKKE5WPA8,D1,P5,"Outfitted structural units and hull modules are ship structural fabrication.

https://www.workboat.com/gulf-copper-expands-work-with-huntington-ingalls-on-arleigh-burke-class-destroyers
https://www.marinelog.com/shipbuilding/shipyards/shipyard-news/gulf-copper-in-new-agreement-to-support-ingalls-with-outfitted-structural-units/","Outfitted structural units and hull modules are transferred as shipbuilding structures/modules.

https://www.workboat.com/gulf-copper-expands-work-with-huntington-ingalls-on-arleigh-burke-class-destroyers
https://www.marinelog.com/shipbuilding/shipyards/shipyard-news/gulf-copper-in-new-agreement-to-support-ingalls-with-outfitted-structural-units/
https://www.chron.com/gulf-coast/article/galveston-shipyard-navy-destroyers-contract-21155901.php"
DDG,QNEXJLA47BM4,D10,P2,"Marine furniture, accommodation fittings and interior packages are interiors/habitability outfit.

https://www.jmms.com/
https://www.workboat.com/press-releases/jamestown-metal-offshore-living-quarters-marine-interior-outfitting","Marine furniture, accommodation fittings, and joiner/interior packages are fit-ready outfitting components rather than major modules.

https://www.nist.gov/system/files/documents/el/msid/3-Robinson.pdf
https://www.jamestownmetal.com/"
DDG,QNF5KM7YJSN7,D1,P6,"Welding, fabrication and ship-repair/warranty work indicate hull/structural marine fabrication.

https://www.southcoastwelding.net/services/welding-shipfitting/
https://govtribe.com/vendors/southcoast-welding-manufacturing-llc-3yxd4","The described DDG role is welding, fabrication, ship-repair, and warranty support rather than a confirmed delivered article.

https://www.southcoastwelding.net/services/welding-shipfitting/
https://www.southcoastwelding.net/
https://govtribe.com/vendors/southcoast-welding-manufacturing-llc-3yxd4"
DDG,QV38GMJUBJQ3,D0,P6,"Broad multi-trade installation labor spans welding, pipefitting, painting and equipment installation.

https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
https://www.l3harris.com/all-capabilities/maritime-fabrication-and-prototyping","The role is shipyard production labor and installation services rather than equipment manufacturing.

https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
https://www.virginiashiprepair.org/MemberProfile/146/L3Harris-Maritime-Services
https://govtribe.com/vendors/l-3-unidyne-inc-dot-34246"
DDG,QYKAR7MJJXL7,D7,P3,"Ionization smoke detectors are component-level sensing/electronic devices.

https://www.ndt.org/vendor.asp?ObjectID=43795
https://www.meggitt.com/products-services/fire-overheat-detectors/","Ionization smoke detectors are bounded functional sensing/alarm units once connected to ship systems.

https://sam.gov/opp/ae2c10b8860c45d3999282bdceccd24a/view
https://www.parttarget.com/Meggitt-Safety-Systems-Inc_nsn-parts_905087-01_244-14322.html"
DDG,RMLGMBGNPCC8,D2,P2,"Hydrodynamic thrust and journal bearings support propulsion shaft lines/rotating machinery.

https://www.kingsbury.com/marine/
https://www.kingsbury.com/","Hydrodynamic thrust and journal bearings are finished components incorporated into propulsion shaft lines/rotating machinery.

https://www.kingsbury.com/marine/
https://www.parttarget.com/5330-01-513-4551_5330015134551_MID-7-511X561X22.html
https://enginemechanics.tpub.com/14111/css/Main-Thrust-Bearing-Clearance-Measurements-98.htm"
DDG,SKKACASET588,D6,P3,"Shipboard communications/navigation/switching equipment is system-level communications/control.

https://www.dynalec.com/products
https://www.dynalec.com/capabilities
https://www.dynalec.com/products/announcing-and-intercom","Shipboard communications/navigation/switching units are functional electronics equipment absent evidence of a configured integrated comms system.

https://www.dynalec.com/
https://www.dynalec.com/products
https://www.dynalec.com/products/announcing-and-intercom"
DDG,SLD5KEGGLLZ3,D5,P3,"Provides Navy HVAC/refrigeration and chilled-water air-conditioning plants.

https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://govtribe.com/opportunity/federal-contract-opportunity/johnson-controls-navy-systems-jcns-high-efficiency-super-capacity-hesc-air-conditioning-plants-22mmm093
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions","Shipboard HVAC/R and HESC chilled-water air-conditioning plants are functional equipment units, not outfitted modules.

https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://www.calnetix.com/newsroom/press-release/calnetix-technologies-present-paper-new-generation-high-efficiency-super
https://www.calnetix.com/newsroom/press-release/calnetix-technologies-supplies-key-components-new-us-navy-chiller-system"
DDG,SSD8KRDXKG46,D4,P3,"Halon/fire-suppression valves and suppression-system hardware control extinguishing fluids/gases.

https://hillerfire.com/applications/marine-fire-protection/
https://hillerfire.com/applications/marine-fire-protection/gaseous-agent-fire-suppression-systems/","The identified stop-check valve/fire-protection hardware is functional shipboard fluid-control equipment at handoff.

https://www.highergov.com/nsn/4820014492993/
https://hillerfire.com/"
DDG,T2VFE1NGR3G5,D6,P0,"Military training, control, communications and wireless electronics are system-level control/comms.

https://govtribe.com/vendors/drs-training-control-systems-llc-drs-technologies-12339
https://www.leonardodrs.com/who-we-are/our-segments/airborne-intelligence-systems/","No public evidence identifies a discrete DDG-51 construction component for this UEI.

https://www.highergov.com/awardee/drs-training-control-systems-llc-10107268/
https://govtribe.com/vendors/drs-training-control-systems-llc-drs-technologies-12339
https://www.govcon.com/doc/drs-technologies-awarded-132m-contract-to-pro-0001"
DDG,TPN7LAC6HGW3,D2,P6,"Shaft-line, propeller and seal installation/overhaul support is propulsion-system service.

https://www.wartsila.com/marine/products/shaft-line-solutions
https://www.wartsila.com/latinamer/media/03-09-2020-matthew-zirkle-joins-wartsila-defense-inc","The Poulsbo Wartsila role is installation, repair, overhaul, and parts-support service rather than a confirmed new-construction article.

https://www.wartsila.com/marine/services
https://www.wartsila.com/usa/media/local-news/27-04-2012-w%C3%A4rtsil%C3%A4-donates-controllable-pitch-propulsion-system-to-the-united-states-merchant-marine-academy"
DDG,TSCZLHCGNQ53,D4,P0,"Fuel filtration, water-separation and coalescer equipment are fluid-treatment hardware.

https://www.facetfiltration.com/
https://www.facetfiltration.com/about-us/history/
https://core-es.com/wp-content/uploads/F12423-Manual.pdf","The DDG rebuy item is unidentified and no reliable Facet model/component match is confirmed.

https://www.highergov.com/subcontract/N0002418C2307-16098-0/
https://www.highergov.com/awardee/filtration-group-corporation-10007841/"
DDG,U23DM4ULNLS3,D6,P4,"Mk 45 Mod 4 naval gun systems are combat/weapon systems.

https://www.baesystems.com/en-us/product/mk-45-mod-4-naval-gun-system
https://www.navy.mil/Resources/Fact-Files/Display-FactFiles/Article/2167864/mk-45-5-inch-5462-caliber-guns/","Mk 45 Mod 4 naval gun systems are delivered as configured weapon-system hardware, not independent components.

https://www.baesystems.com/en-us/product/mk-45-mod-4-naval-gun-system
https://www.baesystems.com/en-us/article/257-million-contract-awarded-to-produce-mk-45-gun-systems-for-the-us-navy
https://www.baesystems.com/en-us/article/upgrades-for-mk-45-gun-system-under-63-million-contract"
DDG,U864F3HRME53,D3,P3,"Naval power conversion, distribution, drives and controls are ship-service electrical power hardware.

https://www.gevernova.com/power-conversion/product-solutions/Naval-Electric-Power-Propulsion
https://www.gevernova.com/power-conversion/industries/Marine/Naval","Power-conversion, distribution, drive, automation, and control hardware are bounded functional shipboard power/control equipment.

https://www.gevernova.com/power-conversion/product-solutions/Naval-Electric-Power-Propulsion
https://www.gevernova.com/power-conversion/industries/Marine/Naval
https://www.highergov.com/awardee/ge-energy-power-conversion-naval-systems-inc-10114570/"
DDG,V1MQFNQB56Z5,D4,P3,"High-pressure air compressors supply shipboard compressed-air systems.

https://www.rixindustries.com/shipboard-air-compressor
https://www.rixindustries.com/rix-industries-awarded-us-navy-contract","High-pressure air compressors are functional shipboard compressed-air machinery.

https://www.rixindustries.com/rix-awarded-ddg-51-flight-iii-compressor-contract-successor-new-large-surface-combatant-program
https://www.rixindustries.com/star-series
https://www.rixindustries.com/family-ties-celebrated-with-rix-industries-compressors-welcomed-aboard-uss-rafael-peralta"
DDG,V8HGGNTGDH59,D4,P3,"Air-moisture separation and filtration for gas-turbine intakes is gas/fluid filtration hardware.

https://www.globenewswire.com/news-release/2012/09/18/491345/10774/en/pmfg-inc-parent-of-peerless-mfg-co-notice-of-award-valued-at-13-7-million-to-supply-air-moisture-separation-and-filtration-systems-to-u-s-navy.html
https://patents.google.com/patent/US5653786A/en","Air-moisture separation/filtration systems for gas-turbine intakes are functional air-treatment equipment.

https://asmedigitalcollection.asme.org/GT/proceedings-pdf/GT1995/78798/V002T03A002/4457321/v002t03a002-95-gt-055.pdf
https://www.cecoenviro.com/peerless-mfg"
DDG,VJMTKNLENX24,D5,P2,"Custom evaporator/condenser coils and air coolers are HVAC/refrigeration heat-transfer equipment.

https://www.marlocoil.com/
https://www.leonardodrs.com/wp-content/uploads/2023/08/2019-marine-hvac-catalog_final3.pdf
https://govtribe.com/vendors/engineered-coil-company-drs-marlo-coil-38450","Evaporator/condenser coils and air-cooler coils are fit-ready heat-transfer components built into HVAC/R equipment.

https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/
https://www.marlocoil.com/proud-of-our-military-work/
https://www.marlocoil.com/applications/"
DDG,WPP2ABN6UCF5,D6,P3,"Machinery-control and monitoring consoles/panels/alarms are system-level control equipment.

https://seawaves.com/wp-content/uploads/2022/09/USN-Contracts-2020-1-1.pdf
https://magazines.marinelink.com/Magazines/MaritimeReporter/198107/content/shipboard-automation-monitoring-205266","Operator consoles, control panels, alarms, and shipboard control electronics are functional control/monitoring equipment units.

https://www.l3harris.com/
https://www.l3harris.com/all-capabilities/integrated-platform-management-system
https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards"
DDG,WSK3WRSGKAU1,D4,P3,"Fuel purifiers remove water/solids from fuel-transfer fluid streams.

https://www.alfalaval.us/industries/marine-and-transportation/engine-and-transport/fuel-cleaning/
https://www.alfalaval.us/products/separation/centrifugal-separators/separators/s-and-p-flex/","Self-cleaning centrifugal fuel purifiers are functional fuel-treatment machinery.

https://www.alfalaval.us/products/separation/centrifugal-separators/
https://www.scribd.com/document/340313779/S9086-SN-STM-010-Ch-541-Ship-Fuel-and-Fuel-Systems-Rev-9"
DDG,WUDSRNBSYC17,D2,P2,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] Forged marine propulsion/stern shafting is supplied by a forging/process-specialist shop.

https://www.erieforge.com/products-services/
https://www.highergov.com/vehicle/navsup-surface-shafts-idiq-7734/","Forged propulsion/stern shafting is delivered as a finished fit-ready shaft component, not powered machinery.

https://www.erieforge.com/
https://www.erieforge.com/products-services
https://govtribe.com/vendors/erie-forge-and-steel-inc-dot-efs-1f460"
DDG,XYNDM1Y7XGG7,D2,P2,"Line-shaft, stern-tube, strut and thrust bearings support the propulsion shaft line.

https://www.ambco.net/water-lubricated-bearings
https://www.ambco.net/lineshaft-bearings
https://www.ambco.net/bearing-propulsion-systems","Line-shaft, stern-tube, strut, and thrust bearings are finished propulsion components built into shafting machinery.

https://www.ambco.net/lineshaft-bearings
https://www.ambco.net/thrust-bearings
https://www.ambco.net/our-story"
DDG,YELYMYLF82L9,D8,P3,"Slewing-arm boat-davit system is boat-handling/deck machinery.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://sam.gov/opp/d96a6580660c40c199779fc51724f9be/view","The slewing-arm boat davit is a bounded deck-machinery unit that performs its launch/recovery function once installed.

https://www.lakeshoresys.com/marine-and-defense/cranes/
https://www.highergov.com/contract-opportunity/boat-davit-parts-n50054-18-t-0021-r-d05a0/
https://www.highergov.com/subcontract/N0002419C4452-07682ATTXC/"
DDG,YYVHWZMPP3F8,D3,P3,"Switchboards, load centers, conversion and motor-control equipment distribute ship service power.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/
https://www.leonardodrs.com/who-we-are/our-segments/naval-power-systems/","Switchboards, load centers, power-conversion, motor-control, drive, and automation/control equipment are functional shipboard power units.

https://www.leonardodrs.com/what-we-do/products-and-services/marine-switchboards-and-loadcenters/"
DDG,Z89SS59265U9,D3,P3,"Power electronics, transformers, grounding transformers and static switches are power-conversion/distribution hardware.

https://www.espey.com/products/integrated-power-systems/
https://www.espey.com/products/military-power-systems-magnetics/","Power electronics, transformers, static switches, and power-distribution/protection equipment are functional electrical units.

https://www.espey.com/products/integrated-power-systems/
https://www.espey.com/products/military-power-systems-magnetics/"
DDG,ZA1KMNAJMVT3,D10,P2,"Interior deck coverings/flooring are shipboard interior outfit.

https://www.surfacetechnologiescorp.com/
https://govtribe.com/vendors/surface-technologies-corporation-1dz42","Interior deck coverings/flooring are finished outfitting materials/components installed on the ship, not a configured system.

https://www.highergov.com/subcontract/N0002413C2307-1074530-4/
https://www.arl.psu.edu/wp-content/uploads/filr/2456/IMAST%202017-2018%20Annual%20Report.pdf"
DDG,ZLM5NQE8LSR8,D0,P3,"The described HVAC/electrical/machinery integration and motor/brake clue do not support one domain.

https://govtribe.com/vendors/imeco-inc-dot-0v369
https://www.prnewswire.com/news-releases/jf-lehman--company-acquires-imeco-inc-185666282.html","The identified motor-and-brake assembly is a bounded functional electromechanical unit, not a full integrated package.

https://govtribe.com/opportunity/federal-contract-opportunity/slew-motor-and-brake-n0040621r0018
https://www.jflco.com/portfolio-details/5/lake-shore-systems
https://directory.marinelink.com/companies/company/imeco-inc-206288"
DDG,ZW3UMG9YVNA9,D3,P3,"MIL-SPEC switchboards and load centers are shipboard electrical distribution hardware.

https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers
https://www.l3harris.com/all-capabilities/marine-power-distribution
https://govtribe.com/vendors/l-3-communications-westwood-corporation-l-3-westwood-3feq2","MIL-SPEC switchboards and load centers are functional electrical-distribution equipment once installed.

https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers
https://www.l3harris.com/all-capabilities/power-distribution-panels-control-console-workstation-and-panel-boards
https://govtribe.com/vendors/l-3-communications-westwood-corporation-l-3-westwood-3feq2"
DDG,N1PJDANWUJ61,D2,,"[MECE 2026-06-20: D9->D2 firm-level reclassification, ship application determinable] (was map-resolved D9 via NAICS)",
DDG,CBMZJ3Z5SC89,D1,,"[MECE 2026-06-20: D9->D1 firm-level reclassification, ship application determinable] (was map-resolved D9 via NAICS)",
Virginia,C1PGRWC26153,D4,P3,"Electromechanical linear and rotary actuators provide controlled mechanical motion.

https://actuation.curtisswright.com/en-gb/about/about-exlar-automation
https://actuation.curtisswright.com/en-gb/products","Electromechanical linear/rotary actuators are bounded functional actuation equipment.

https://actuation.curtisswright.com/en-gb/products
https://actuation.curtisswright.com/en-gb/industries/ground-and-naval-defense
https://actuation.curtisswright.com/"
Virginia,C256E427Q518,D1,P2,"Custom cutting, forming, and robotic welding indicate marine metal-fabrication competence.

https://deltakmfg.com/
https://deltakmfg.com/capabilities/robotic-welding-deltak-manufacturing/","Custom cut, formed, machined, and welded metal fabrications are fit-ready components.

https://deltakmfg.com/products/metal-products/
https://deltakmfg.com/"
Virginia,CBMZJ3Z5SC89,D1,P2,"[MECE 2026-06-20: D9->D1 firm-level reclassification, ship application determinable] Lightweight composite sail, bow-dome, and propulsor parts reflect composite-material specialization.

https://www.naval-technology.com/news/newsgoodrich-delivers-sail-cusp-for-us-navys-virginia-class-submarines/
https://www.compositesworld.com/articles/composite-solutions-cutting-cost-of-nuclear-powered-subs","Composite sail cusps, bow domes, and related structures are fit-ready structural components.

https://www.prnewswire.com/news-releases/goodrich-to-supply-sail-cusps-for-eight-virginia-class-submarines-91723819.html
https://www.naval-technology.com/news/newsgoodrich-delivers-sail-cusp-for-us-navys-virginia-class-submarines/
https://www.rtx.com/collinsaerospace/what-we-do/industries/military-and-defense/submarines-and-surface-ships/composites-urethane-rubber-products"
Virginia,CFXRGJSB9UB6,D3,P3,"Naval circuit breakers, switchgear, and protection hardware switch and protect electrical power.

https://govtribe.com/vendors/spd-electrical-systems-inc-dot-30086
https://www.marketwatch.com/story/l-3-communications-to-provide-circuit-breakers-to-navy","Circuit breakers and switchgear protection hardware are functional electrical-protection units.

https://www.leonardodrs.com/what-we-do/products-and-services/circuit-breakers/
https://www.l3harris.com/all-capabilities/marine-power-distribution
https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10107022/"
Virginia,DJG7NEG7QRK5,D4,P3,"Navy gate, globe, ball, relief, and high-pressure valves are fluid-control equipment.

https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/
https://www.fairbanksmorsedefense.com/solutions/valves/","Ship-service ball, gate, globe, relief, and high-pressure valves are functional fluid-control units.

https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-hunt-valve-awarded-96-million-in-pos-to-deliver-essential-valves-for-virginia-and-columbia-class-submarine-programs/
https://www.navaltoday.com/2025/01/08/fairbanks-morse-defense-to-provide-equipment-for-us-navys-submarines/"
Virginia,DK14KTLXA9M5,D4,P2,"Copper-nickel and alloy fittings, flanges, and piping components serve shipboard fluid systems.

https://kmetf.com/
https://resources.ardalyst.com/hubfs/Case%20Studies/Tesseract_KMETFCaseStudy.pdf","Fittings, flanges, and piping components are fit-ready parts for larger fluid systems.

https://govtribe.com/vendors/kme-america-marine-tube-fitting-llc-7a8g3
https://www.kme.com/fileadmin/DOWNLOADCENTER/SPECIAL%20DIVISION/2%20Marine%20Applications/2%20Offshore/OSNA10_Offshore_2017.pdf"
Virginia,E2P8AAJA2LK5,D9,P2,"Level I/SUBSAFE precision machining is the differentiating competence.

https://microprecisiongroup.com/
https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-south-windham-manufacturer-micro-precision-llc-as-murphys-monday-manufacturer","Precision-machined Level I/SUBSAFE critical items are fit-ready components.

https://microprecisiongroup.com/
https://compasspartners.com/compass-partners-announces-new-board-for-micro-precision-llc/
https://www.murphy.senate.gov/newsroom/press-releases/murphy-highlights-south-windham-manufacturer-micro-precision-llc-as-murphys-monday-manufacturer"
Virginia,E8LNMDLEKM35,D5,P3,"Steam condensers and heat exchangers are heat-transfer and thermal-management equipment.

https://www.dcfab.com/
https://www.dcfab.com/products/military-applications/","Steam condensers and heat exchangers are bounded heat-transfer equipment delivered for installation.

https://www.dcfab.com/products/military-applications/
https://www.dcfab.com/
https://www.highergov.com/awardee/dc-fabricators-inc-10022240/"
Virginia,E9DKKLZNCQS9,D7,P2,"Terminal-board hardware for a data-acquisition unit is component-level electronic interconnect hardware.

https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/","Terminal-board and electromechanical hardware are components within larger data-acquisition/control equipment.

https://www.aishtechnologies.com/news/success-in-virginia-class-sub-delivery/
https://www.aishtechnologies.com/"
Virginia,EPSYXPS5MK39,D6,P2,"The undersea-systems entity supplies functional acoustic/sonar hardware rather than material-process-only parts.

https://www.northropgrumman.com/careers/northrop-grumman-in-annapolis-maryland
https://www.northropgrumman.com/what-we-do/sea","The concrete item is an acoustic sonar baffle, a fit-ready component within the sonar/acoustic system.

https://www.northropgrumman.com/what-we-do/sea
https://militaryembedded.com/unmanned/sensors/navy-completes-testing-submarine-acoustic-flank-array
https://www.naval-technology.com/projects/nssn/"
Virginia,F1UZPBD1VBH9,D6,P3,"Industrial networking hardware provides system-level shipboard data communications.

https://lyme.com/contracts/
https://www.siemens.com/us/en/products/automation/industrial-communication/rugged-communication/ruggedcom.html","Industrial networking hardware is bounded functional equipment, not an integrated network system.

https://www.war.gov/News/Contracts/Contract/Article/1211091/contracts-for-jun-12-2017/
https://www.highergov.com/awardee/lyme-computer-systems-inc-10001645/
https://www.siemens.com/en-us/products/ruggedcom/"
Virginia,F42BKS7EHCL8,D3,P3,"The Circuit-D computer-controlled power-supply system performs shipboard power conversion and control.

https://www.australiandefence.com.au/news/australia-s-ultra-electronics-secures-overseas-submarine-systems-contract
https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html","Computer-controlled power-supply equipment is a bounded functional electrical unit.

https://www.australiandefence.com.au/news/australia-s-ultra-electronics-secures-overseas-submarine-systems-contract
https://www.lse.co.uk/news/ultra-electronics-bags-21m-submarine-systems-contract-rw45tb5ru9vt5k4.html
https://govtribe.com/vendors/ems-development-corporation-51435"
Virginia,F76KN7T9YP64,D2,P2,"Bearing hardware is explicitly part of propulsion and mechanical power-transmission machinery.

https://www.waukbearing.com/en/industries/marine.html
https://www.highergov.com/contract/N0010424CFA13/","Bearing hardware is a finished component installed into larger rotating machinery.

https://www.waukbearing.com/en/industries/marine.html
https://aerobasegroup.com/cage-code/07332/fsc/2825/"
Virginia,FK17Z7DJWLL1,D1,P6,"Assembly and welding fixtures directly support fabrication of naval structural assemblies.

https://www.apco-technologies.eu/naval/
https://www.apco-technologies.eu/","Assembly/welding fixtures and installation support are production-support handoffs rather than ship articles.

https://www.apco-technologies.eu/naval/
https://www.apco-technologies.eu/"
