Subawardee UEI,Capability Domain (D),Capability Domain Basis,Capability Domain URLs,Primary Output (P),Primary Output Basis,Primary Output URLs
MSYWUDGYPKF5,D1,"Seamless high-pressure flasks and vessels are pressure-vessel fabrication, assigned to D1 by the boundary tie-break.",https://www.cp-industries.com/; https://www.highergov.com/awardee/cp-industries-holdings-inc-10054684/,P3,High-pressure air flasks/cylinders are acceptance-tested compressed-gas storage units.,https://cp-industries.com/products/applications/military; https://cp-industries.com/products/applications; https://cp-industries.com/wp-content/uploads/2020/09/CPI_History.pdf
MU3CM1145E44,D6,"Installation, integration, and testing of the strategic fire-control system are system-level weapons and mission work.",https://gdmissionsystems.com/submarine-systems/fire-control-systems; https://gdmissionsystems.com/sea/progeny-systems; https://gdmissionsystems.com/articles/2020/06/19/columbia-dreadnought-class-ballistic-missile-submarine-fire-control-systems-contract,P6,"Installation, integration, and testing support for fire-control hardware is a service handoff.",https://gdmissionsystems.com/sea/progeny-systems; https://gdmissionsystems.com/submarine-systems/fire-control-systems; https://gdmissionsystems.com/articles/2020/06/19/columbia-dreadnought-class-ballistic-missile-submarine-fire-control-systems-contract
N1PJDANWUJ61,D9,"The differentiating competence is large open-die and rolled-ring forging of shafts and rings, so the process itself drives D9.",https://www.scotforge.com/post/navy-visits-naf; https://www.scotforge.com/market-expertise1/marine-propulsion,P1,Shaft/open-die/rolled-ring forgings are upstream metal inputs requiring downstream machining and qualification.,https://www.scotforge.com/market-expertise1/marine-propulsion; https://www.scotforge.com/nuclear-energy
N5KMLMXEPFM5,D5,"A complete reverse-osmosis watermaker provides potable water, making life-support function the deciding signal over its pumps and filters.",https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf; https://pdf.nauticexpo.com/pdf/parker-hannifin/racor-village-marine-watermakers/21487-47789.html,P3,Reverse-osmosis watermaker package is bounded functional desalination equipment.,https://ph.parker.com/us/en/product-list/village-marine-sea-water-series; https://www.parker.com/content/dam/Parker-com/Literature/Village-Marine/Village-Marine-Literature-Docs/RacorVMT_VMT_Product_Overview_BRO_7807.pdf
N79NY6FRL2F3,D4,Level I main-seawater pipe fittings form and join pressure-boundary fluid lines.,https://customalloycorp.com/about-custom-alloy/; https://www.tradeandindustrydev.com/region/north-carolina/news/nc-custom-alloy-corp-establish-operation-badin-18745,P2,Level I main-seawater pipe fittings are fit-ready piping components installed into fluid systems.,https://customalloycorp.com/about-custom-alloy/; https://customalloycorp.com/; https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation
NEGFNA8YS723,D9,The defensible competence is NAVSEA-qualified precision machining and welding of critical assemblies; the functional system is unknown.,https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/; https://granitestatemfg.com/,P2,"Large NAVSEA-qualified machined/welded assembly is a fit-ready submarine assembly, not a confirmed module/system.",https://granitestatemfg.com/; https://granitestatemfg.com/granite-state-manufacturing-secures-25-million-in-new-us-navy-contracts/; https://granitestatemfg.com/capabilities/
NN7PCHZFNZP8,D9,"The disclosed competence is high-integrity steel casting, while the end subsystem is unknown; process specialization controls.",https://www.goodwinsteelcastings.com/core-markets/defence-marine/; https://www.goodwinsteelcastings.com/wp-content/uploads/2025/07/GSC-Defence.pdf,P1,High-integrity steel/stainless castings are near-net metal inputs requiring downstream machining/assembly.,https://www.goodwinsteelcastings.com/core-markets/defence-marine/; https://www.goodwinsteelcastings.com/wp-content/uploads/2025/07/GSC-Defence.pdf; https://www.goodwin.co.uk/goodwin-steel-castings/
NSWQJBEZZD83,D0,Enterprise portfolio and innovation-management software is shore-based general support with no technical ship-area specialty.,https://www.globenewswire.com/news-release/2022/08/16/2499188/0/en/sopheon-and-team-submarine-agree-to-five-year-agreement.html,P6,Enterprise portfolio/roadmap software is a shore-based program-management technical product.,https://www.wellspring.com/; https://www.sopheon.com/hubfs/E-books/Sopheon_Ebook_Driving_innovation_governance_strategy_and_portfolio_management_with_Accolade.pdf?hsCtaAttrib=147993056148
NYGUEDY27AM8,D4,"Nuclear-qualified valves, actuators, and solenoids control submarine fluid systems.",https://electro-mechanicalsystems.curtisswright.com/target-rock/about-us; https://curtisswright.com/organization/naval-power,P3,"Nuclear-qualified valves, actuators, and solenoids are acceptance-testable flow-control units.",https://curtisswright.com/news/press-releases/news-release-details/2019/Curtiss-Wright-Awarded-Contracts-Valued-in-Excess-of-80-Million-to-Support-US-Navys-Virginia-class-and-Columbia-class-Submarine-Programs; https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense; https://curtisswright.com/markets/defense/naval-defense
PAH8M4BJACA5,D7,Electrical hull penetrators and feedthroughs carrying transmitter cables are explicitly D7 interconnect hardware.,https://www.teledynemarine.com/brands/dgo/pressure-hull-penetrator; https://www.highergov.com/contract-opportunity/electric-hull-penetrator-ehp-new-large-idiq-lev-n6449826r0526-o-16527/,P2,SUBSAFE electrical hull penetrators are fit-ready pressure-boundary/cable-routing components.,https://www.teledynemarine.com/brands/dgo/pressure-hull-penetrator; https://www.highergov.com/contract-opportunity/electric-hull-penetrator-ehp-new-large-idiq-lev-n6449826r0526-o-16527/
PTMFLMD2CUB4,D6,Integrated secure submarine communications shipsets are system-level communications equipment.,https://www.l3harris.com/newsroom/press-release/2026/02/l3harris-secures-full-rate-production-contract-us-navy-submarine; https://www.l3harris.com/all-capabilities/undersea-warfare; https://www.l3harris.com/supporting-navy,P4,"Integrated submarine communications shipset includes hardware, software, racks, and interfaces delivered as one configured solution.",https://militaryembedded.com/comms/communications/submarine-communications-systems-to-be-supplied-for-us-navy-submarines-by-l3harris; https://thedefensepost.com/2026/02/19/l3harris-submarine-comms-virginia-columbia/; https://www.l3harris.com/
PUG1H9MFJD63,D1,The company forms and welds heavy-plate propulsor support components; its own differentiating competence is structural fabrication.,https://www.atfco.com/; https://www.highergov.com/contract/N0016723D0004-N0016723F0035/; https://jobs.buildsubmarines.com/jobs/526177989-welder-build-submarines-in-the-cle-at-american-tank-fabricating-co,P2,"Propulsor plate components/support structures are fabricated subassembly elements, not the full pump-jet system.",https://www.highergov.com/contract/N0016723D0004-N0016723F0035/; https://jobs.buildsubmarines.com/jobs/526177989-welder-build-submarines-in-the-cle-at-american-tank-fabricating-co; https://www.highergov.com/awardee/the-american-tank-fabricating-company-10244797/
Q35JL9GFCAK3,D4,"Valves, manifolds, and fluid and gas control assemblies directly move and control shipboard fluids.",https://marotta.com/products/flow-controls/shipboard-controls/; https://marotta.com/products/flow-controls/,P3,"Valves, controls, and manifolds are functional flow-/motion-control units at handoff.",https://marotta.com/products/flow-controls/shipboard-controls/; https://marotta.com/markets/naval/; https://www.unmannedsystemstechnology.com/wp-content/uploads/2012/06/marine_brochure.pdf
QCFDU4MA1444,D0,General facility construction supports hull and missile-tube production but is not itself a single ship technical domain.,https://www.ctinsider.com/business/article/crystal-mall-ct-electric-boat-22161745.php; https://www.a-zcorp.com/,P6,"Shipyard facility construction/expansion is production-infrastructure support, not delivered ship hardware.",https://www.a-zcorp.com/manufacturing/building-electric-boats-new-hull-fabrication-facility/; https://www.gdeb.com/about/oursubmarines/columbia/
RG6LJJM6JBS3,D1,"Austal’s differentiating role is fabrication and outfitting of completed submarine modules, not manufacture of the contained combat electronics.",https://www.austalusa.com/submarines,P5,Command/control and electronic deck module content is handed off as outfitted submarine modules.,https://www.austalusa.com/submarines; https://www.austalusa.com/; https://www.marinelink.com/news/austal-usa-awarded-million-boost-capacity-517161
SLD5KEGGLLZ3,D5,Naval HVAC and refrigeration systems condition the submarine environment and support habitability.,https://www.johnsoncontrols.com/marine-and-navy; https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration; https://www.pct.edu/give/corporate-tomorrow-makers/johnson-controls-navy-systems,P3,Naval HVAC-R machinery/equipment is a bounded environmental-control plant or unit.,https://www.johnsoncontrols.com/marine-and-navy; https://www.johnsoncontrols.com/industries/marine-and-navy/navy; https://www.johnsoncontrols.com/marine-and-navy/hvac-and-refrigeration
SX6BF52K2WB1,D4,"Quiet valves, manifolds, and fluid-control assemblies are functional fluid and pressure equipment.",https://www.vacco.com/index.php/navy/quiet-valves-and-manifolds; https://www.vacco.com/index.php/navy/overview; https://www.vacco.com/index.php/navy/programs,P3,"Critical-quiet valves, manifolds, and fluid-control assemblies are functional flow-control units.",https://www.vacco.com/index.php/navy/quiet-valves-and-manifolds; https://www.vacco.com/index.php/navy/overview; https://www.vacco.com/images/uploads/site-images/VACCO_Tri_fold_brochure_2018.pdf
T2VFE1NGR3G5,D0,"The UEI’s training, control, and wireless capabilities are broad, and no Columbia construction item or dominant domain is identified.",https://www.leonardodrs.com/locations/airborne-intelligence-systems-fort-walton-beach/; https://sossecinc.com/company/drs-training-control-systems-llc/; https://www.highergov.com/awardee/drs-training-control-systems-llc-10107268/,P0,No distinct Columbia-specific construction component or service can be defensibly tied to this UEI.,https://www.leonardodrs.com/; https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/; https://investors.leonardodrs.com/static-files/d9ad2eba-c8b2-4743-9de0-b27b29843218
TY25RCEB5FF3,D8,Heavy handling and assembly equipment and submarine fabrication fixtures are the strongest differentiating capability.,https://collinsandjewell.com/; https://submarinesuppliers.org/wp-content/uploads/2018/03/2018-SIBC-Supplier-Days-Attendees.pdf,P2,"Weldment fixtures and custom support structures are fabricated production-support articles, not ship modules.",https://submarine.senedia.org/view/738/; https://submarine.senedia.org/supply-chain-database/; https://myemail.constantcontact.com/subject.html?aid=gfny9lXNz4s&soid=1111063476850
TZVRTYNM3MN3,D1,Submarine superstructures and fracture-critical complex steel structures are D1 hull and structural fabrications.,https://arlingtoncap.com/news/arlington-capital-partners-announces-the-acquisition-of-pegasus-steel/; https://www.govconwire.com/articles/arlington-capital-buys-pegasus-steel,P2,Complex submarine steel structures/assemblies are finished fabricated components without evidence of outfitted module handoff.,https://keelusa.com/columbia-class-case-study/; https://breakingdefense.com/2025/03/navy-contractor-keel-to-open-new-70m-facilities-for-submarine-fabrication/; https://orrpartners.com/navy-contractor-keel-submarine-fabrication/
UMQ8KHJJUBN6,D1,"CNC plate-cutting, welding positioners, and manipulators are specialized tools for hull and module structural fabrication.",https://www.koike.com/; https://www.koike.com/platepro/,P3,"CNC cutting systems, positioners, rolls, and manipulators are bounded functional production machinery.",https://www.koike.com/; https://www.koike.com/about-us/; https://www.koike.com/positioning-and-welding/
UYHRBG6RLS57,D0,"The legacy UEI cannot be tied to either Northrop’s launcher (D6) or power-generation (D3) business, so no primary is defensible.",https://www.northropgrumman.com/what-we-do/sea; https://www.northropgrumman.com/careers/northrop-grumman-in-sunnyvale-california; https://www.highergov.com/contract/N0003022C1013/,P0,Legacy UEI cannot be resolved to a specific operating site or defensible Columbia handoff.,https://www.northropgrumman.com/what-we-do/sea; https://www.northropgrumman.com/careers/northrop-grumman-in-sunnyvale-california; https://www.gdeb.com/about/oursubmarines/columbia/
VJMTKNLENX24,D5,"The site’s own product line is Navy HVAC and refrigeration coils and heat exchangers, a direct thermal-domain competence.",https://www.marlocoil.com/; https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/; https://www.leonardodrs.com/locations/naval-power-systems-marlo-heat-transfer-solutions-high-ridge-mo/,P2,"HVAC/refrigeration coils and heat exchangers are thermal components, not a complete environmental-control plant.",https://www.leonardodrs.com/locations/naval-power-systems-marlo-heat-transfer-solutions-high-ridge-mo/; https://www.marlocoil.com/; https://www.highergov.com/awardee/engineered-coil-company-10113359/
VL18ZH6YLPY5,D2,"The permanent-magnet main-propulsion motor is the ship’s propulsion drive, squarely D2.",https://usa.leonardo.com/en/press-release-detail/-/detail/leonardo-drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine; https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/,P3,"Permanent-magnet propulsion motor output is a bounded functional electric machine, not the full propulsion package.",https://www.leonardodrs.com/news/press-releases/leonardo-drs-awarded-contracts-for-u-s-navys-columbia-class-submarine-program/; https://www.leonardodrs.com/news/feature-stories/columbia-class-submarine/; https://seapowermagazine.org/drs-delivers-advanced-electric-propulsion-equipment-for-lead-columbia-class-submarine/?print=print
WESDY4U81NP8,D4,"Custom naval pipe, fittings, and pressure-boundary alloy components are assigned to the fluid and piping domain despite forging capability.",https://www.tridentllc.com/location-high-bridge-manufacturing; https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation; https://customalloycorp.com/,P2,"Custom alloy fittings/pipe and related forgings are fit-ready piping components, not systems.",https://www.tridentllc.com/location-high-bridge-manufacturing; https://www.tridentllc.com/; https://www.jflco.com/news-article/153/trident-maritime-systems-acquires-assets-of-custom-alloy-corporation
WJ45NXW2TVD7,D4,"Electrohydraulic linear actuators are fluid-power equipment even when they operate valves, weapons, doors, or hatches.",https://www.moog.com/products/actuators-servoactuators/defense/linear-actuators-for-naval-systems.html; https://www.moog.com/markets/defense/naval-systems.html,P3,Electrohydraulic linear actuators are bounded functional motion-control units.,https://www.moog.com/products/actuators-servoactuators/defense/linear-actuators-for-naval-systems.html; https://www.moog.com/markets/defense/naval-systems.html; https://www.moog.com/products/actuators-servoactuators/defense.html
WJYVCPD5HKK7,D2,"Naval nuclear-reactor components are propulsion-plant equipment, placing the competence in D2.",https://www.bwxt.com/sectors/defense-space/sea/naval-nuclear-propulsion/,P2,"Naval reactor components are qualified fabricated parts installed into the propulsion plant, not a complete reactor system.",https://www.bwxt.com/sectors/defense-space/sea/naval-nuclear-propulsion/; https://www.bwxt.com/bwxt-awarded-1-billion-in-naval-nuclear-propulsion-program-options/; https://www.bwxt.com/bwxt-announces-2-6-billion-in-contracts-for-naval-nuclear-reactor-components/
WN1PJNXJJ831,D1,"Engineered pressure vessels, separators, and headers are pressure-boundary fabrication, assigned to D1 by the tie-break.",https://www.tfes.com/solutions/pressure-vessels/; https://www.tfes.com/wp-content/uploads/2025/03/pressure-vessels-january-2020.pdf,P2,"Engineered pressure-boundary fabricated components/headers are fit-ready process-system articles, not complete integrated equipment.",https://www.tfes.com/; https://www.tfes.com/solutions/pressure-vessels/; https://www.highergov.com/awardee/taylor-forge-engineered-systems-inc-10420915/
WREEAHYMRQ45,D7,Low-noise accelerometers are component-level instrumentation used to measure machinery and hull vibration and acoustic signatures.,https://www.pcb.com/; https://www.pcb.com/sensors-for-test-measurement/accelerometers; https://www.pcb.com/about/press-room/2023-press-releases/pcbs-newest-mems-dcresponse-accelerometer-3743f,P3,Accelerometers are acceptance-testable sensing units used for vibration/acoustic measurement.,https://www.pcb.com/; https://www.pcb.com/sensors-for-test-measurement/accelerometers
WVW5FMYALEL6,D3,Electrical switchboards and distribution and control equipment switch and distribute ship-service power.,https://www.pepco-ft4.com/about-us/history/; https://www.pepco-ft4.com/solutions/military/; https://www.pepco-ft4.com/solutions/,P3,Electrical switchboards/distribution-control units are acceptance-testable functional equipment.,https://www.pepco-ft4.com/about-us/history/; https://www.pepco-ft4.com/about-us/; https://www.pepco-ft4.com/solutions/military/
WXRTZLL25AE5,D9,"A composite bow dome is a material-specialized acoustic and hydrodynamic part, so D9 over the sonar-system domain.",https://mississippi.org/news/seemann-composites-inc-opens-bow-dome-production-facility-in-gulfport-to-support-new-u-s-navy-contract/; https://www.compositesworld.com/news/seemann-composites-opens-submarine-bow-dome-production-facility,P2,"Composite bow domes are finished structural/acoustic components installed into the bow, not modules.",https://www.compositesworld.com/news/seemann-composites-opens-submarine-bow-dome-production-facility; https://mississippi.org/news/seemann-composites-inc-opens-bow-dome-production-facility-in-gulfport-to-support-new-u-s-navy-contract/; https://www.navysbir.com/success/docs/Seemann-SOCOM96-002.pdf
WYDAKCJ5K219,D3,"Columbia electrical generators produce shipboard electrical power, a direct D3 function.",https://curtisswright.com/news/press-releases/news-release-details/2022/Curtiss-Wright-Receives-Contracts-Valued-at-120-Million-to-Support-U.S.-Navys-Columbia-Class-Submarine-Program; https://curtisswright.com/markets/defense/naval-defense,P3,Electrical generators are acceptance-testable functional machinery delivered for installation.,https://curtisswright.com/markets/defense/naval-defense; https://curtisswright.com/organization/naval-power; https://curtisswright.com/news/press-releases/news-release-details/2024/curtiss-wright-awarded-contracts-valued-excess-130-million-support-critical-us-naval-defense
X6N2CNV552X7,D1,"Hatches, fairings, hull inserts, and closure doors are pressure-hull and structural fabrications.",https://www.oceaneering.com/marine-services/complex-structural-manufacturing/,P2,"Hatches, fairings, hull inserts, and closure doors are finished structural components for installation.",https://www.oceaneering.com/marine-services/complex-structural-manufacturing/; https://www.oceaneering.com/marine-services/submarine-modernization-and-repair/
XQW8RJNNAXX8,D1,"The facility builds completed submarine modules and structural units, making structural fabrication the differentiating competence.",https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/; https://www.marinelink.com/news/maritime/chris-kastner,P5,Completed submarine modules and structural units are handed off as shipbuilding modules.,https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets; https://breakingdefense.com/2024/12/shipbuilder-hii-to-acquire-facilities-from-south-carolina-company-for-sub-construction/; https://berkeleymeansbusiness.com/berkeley-county-w-international-cut-ribbon-on-new-center-of-excellence-training-program/
Y6X3BDLEPNJ6,D1,"Large steel structures and completed submarine modules are hull and module fabrication, regardless of the systems later installed.",https://virginiabusiness.com/newport-news-shipbuildings-south-carolina-manufacturing-facility-is-up-and-running/; https://www.marinelink.com/news/maritime/chris-kastner,P5,Auxiliary-machinery-room and weapons modules are major submarine modules/structural units.,https://news.usni.org/2025/01/27/hii-completes-aqusition-of-w-international-assets; https://www.highergov.com/awardee/w-international-sc-llc-12674116/; https://berkeleymeansbusiness.com/berkeley-county-w-international-cut-ribbon-on-new-center-of-excellence-training-program/
Y7N4SPXNK115,D9,"The differentiating product is high-strength shipbuilding steel plate, the specialty material itself, so D9 over its pressure-hull end use.",https://industry.arcelormittal.com/products-solutions/Products_in_the_spotlight/heavy-plate; https://minnesotairon.org/local-steel-used-in-navy-ships/,P1,High-strength heavy plate is stock material for pressure-hull/structural fabrication.,https://www.clevelandcliffs.com/operations/steelmaking/burns-harbor-plate-and-gary-plate; https://www.manufacturing.net/home/news/13193020/steel-made-at-northwest-indiana-factory-used-in-navy-vessels
YD1GK53355R5,D1,Heavy-walled pressure-vessel and reactor-component fabrication falls to D1 under the pressure-boundary tie-break.,https://www.highergov.com/subcontract/N0002417C2117-1000031211/,P2,"Heavy welded/machined submarine components are fit-ready fabricated articles, with no evidence of complete functional equipment.",https://www.highergov.com/subcontract/N0002417C2117-1000031211/; https://www.bwxt.com/bwxt-bolsters-american-nuclear-manufacturing-capability-with-strategic-acquisition/; https://www.thomasnet.com/company/precision-custom-components-llc-149347/profile
Z19UP1U6FMT1,D8,"Heavy rigging, precision placement, and machinery installation are specialized mechanical-handling capabilities rather than generic freight.",https://hardwaregroupassociation.com/vacancy/job/welder-submarine-building-at-industrial-transfer-and-storage-inc-southbridge-ma-WklrYndmcVJubEd5ckVZRzIvak5aMlJmbXc9PQ%3D%3D; https://www.highergov.com/awardee/industrial-transfer-storage-inc-10074395/,P6,"Rigging, transport, storage, millwrighting, and alignment are production-support services.",https://www.industrialtransfer.com/; https://app.g2xchange.com/companies/Z19UP1U6FMT1; https://submarinesuppliers.org/wp-content/uploads/2025/02/MA-2025.pdf
Z89SS59265U9,D2,"The power-conversion and magnetic components are specifically for the main electric-drive propulsion system, so D2 controls.",https://www.espey.com/espey-mfg-electronics-corp-announces-new-29-5-million-contract-award-supporting-u-s-navys-columbia-class-submarine-program/; https://www.globenewswire.com/news-release/2025/04/10/3059715/0/en/espey-mfg-electronics-corp-announces-additional-new-19-8-million-contract-award-supporting-u-s-navy-s-virginia-and-columbia-class-submarine-programs.html,P3,"Power-conversion and magnetic units are functional electrical equipment, not an integrated propulsion package.",https://www.espey.com/espey-mfg-electronics-corp-announces-new-29-5-million-contract-award-supporting-u-s-navys-columbia-class-submarine-program/; https://www.espey.com/espey-mfg-electronics-corp-announces-additional-new-19-8-million-contract-award-supporting-u-s-navys-virginia-and-columbia-class-submarine-programs/; https://www.espey.com/products/integrated-power-systems/
ZFNUGJEGR2Q9,D0,The custom machine tool is production infrastructure and could support structures or machinery; no single ship domain is defensible.,https://www.ingersoll.com/; https://www.gdeb.com/about/oursubmarines/columbia/,P3,Large milling/boring or automated manufacturing system is bounded functional production machinery.,https://en.machinetools.camozzi.com/who-we-are/innse-berardi.kl; https://euromachinery.net/
