Key,Program,Subawardee UEI,Subawardee Vendor Name,Primary NAICS-6,NAICS-6 Description,Parent UEI,Parent Vendor Name,Parent UEI(s),Role / Description,Source URLs
DDG|T4RCBDVMPVM4,DDG,T4RCBDVMPVM4,"MEGGITT DEFENSE SYSTEMS, INC.",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,TKJ1TW2YRNL3,MEGGITT PLC,PLYSMJBAYE42; TKJ1TW2YRNL3,,
DDG|ZJYJB7MBFE56,DDG,ZJYJB7MBFE56,CRANE PUMPS & SYSTEMS PFT CORP,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",VCFNC31LV829,CRANE CO,VCFNC31LV829,,
DDG|G7SQBKZNPRN4,DDG,G7SQBKZNPRN4,"ACCU-FAB AND CONSTRUCTION, INC.",332312,Fabricated Structural Metal Manufacturing,,,,,
DDG|NQKEVF8KEMP1,DDG,NQKEVF8KEMP1,PIVOTAL POWER INC,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496,"Pivotal Power’s Bedford, Nova Scotia entity makes rugged military power-conversion and power-supply equipment. A Navy award to this exact UEI identifies a shipboard power supply for USS Decatur (DDG-73), providing a concrete DDG-51 application.","https://www.highergov.com/awardee/pivotal-power-inc-10107956/
https://govtribe.com/award/federal-contract-award/purchase-order-n0040624p0230"
DDG|GKPGD2F1LKL5,DDG,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",332111,Iron and Steel Forging,GKPGD2F1LKL5,"ELLWOOD GROUP, INC.",GKPGD2F1LKL5,"Despite the workbook label, this UEI resolves to Ellwood City Forge Company, a separate Ellwood plant that makes large open-die forgings, shafts, rotors, and other heavy steel components. I found no public source identifying which DDG-51 forging this site supplied.","https://www.highergov.com/awardee/ellwood-city-forge-company-10003769/
https://www.ellwoodcityforge.com/"
DDG|C6C8KS7Y1K76,DDG,C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",C6C8KS7Y1K76,MIDE TECHNOLOGY CORPORATION,C6C8KS7Y1K76,,
DDG|FYS6F3284LN3,DDG,FYS6F3284LN3,VELAN VALVE CORP.,,n/a (no SAM record),YY4YKPLKUJ55,,KH1WNH8NJR56; YY4YKPLKUJ55,,
DDG|NBM4G4SAFQM3,DDG,NBM4G4SAFQM3,"QUALITY PERFORMANCE, INC.",334419,Other Electronic Component Manufacturing,X9C7KVWCMQJ6,"VALKYRIE ENTERPRISES, INC.",C2WJWFHRK5S7; X9C7KVWCMQJ6,,
DDG|HMBSX7Z72UK4,DDG,HMBSX7Z72UK4,"WESTLAND TECHNOLOGIES, INC.",326291,Rubber Product Manufacturing for Mechanical Use,SFBKRA9THBA3,ESCO TECHNOLOGIES INC.,JQTLH33SXNQ7; SFBKRA9THBA3,,
DDG|ZU51LS7JZ8L5,DDG,ZU51LS7JZ8L5,"FCX SYSTEMS, INC.",335311,"Power, Distribution, and Specialty Transformer Manufacturing",,,,,
DDG|JR3NDKLB4BH9,DDG,JR3NDKLB4BH9,PACIFIC MARINE SYSTEMS CORP,,n/a (no SAM record),K8E4CQYCRJ25,ADVANCED STRUCTURES CORPORATION,K8E4CQYCRJ25,,
DDG|VGCPT3NSM831,DDG,VGCPT3NSM831,HII FLEET SUPPORT GROUP LLC,541330,Engineering Services,F9SDJAZFTLG6,"HUNTINGTON INGALLS INDUSTRIES, INC",F9SDJAZFTLG6,,
DDG|LCYTE2L5JEP4,DDG,LCYTE2L5JEP4,NAVAL ENGINEERING SUPPORT INC.,336611,Ship Building and Repairing,Q5DRWXKQP299,NAVAL ENGINEERING SUPPORT INC,Q5DRWXKQP299,,
DDG|K84MXRVQ8BW5,DDG,K84MXRVQ8BW5,"PACIFIC SHIPYARDS INTERNATIONAL, LLC",336611,Ship Building and Repairing,,,,,
DDG|K3URF4HUNQS5,DDG,K3URF4HUNQS5,"GLOBAL, INCORPORATED",332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,
DDG|JNC1BUEVV3B9,DDG,JNC1BUEVV3B9,"JGILS, LLC",425120,Wholesale Trade Agents and Brokers,,,,,
DDG|QEP4TKLKQDV3,DDG,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",334419,Other Electronic Component Manufacturing,QEP4TKLKQDV3,"U.S. PIONEER, L.L.C.",QEP4TKLKQDV3,,
DDG|KH1SMVPKSHY4,DDG,KH1SMVPKSHY4,GREAT LAKES SOUND & VIBRATION INC,541330,Engineering Services,KH1SMVPKSHY4,"GREAT LAKES SOUND & VIBRATION, INC.",KH1SMVPKSHY4,,
DDG|VDGQNU1VJC64,DDG,VDGQNU1VJC64,XCHANGER MANUFACTURING CORPORATION,332410,Power Boiler and Heat Exchanger Manufacturing,,,,,
DDG|V32LJNFLKBT7,DDG,V32LJNFLKBT7,RFD BEAUFORT INC.,,"n/a (SAM record, no NAICS)",E5J1EAQ21JR9,Survitec Group (Cayman Islands) Limited,E5J1EAQ21JR9; N7B7PME54JZ9; SZ4SDE9YK5E4,,
DDG|EZVMH8VEGL34,DDG,EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",333912,Air and Gas Compressor Manufacturing,EZVMH8VEGL34,"BAUER COMPRESSORS, INC.",EZVMH8VEGL34; JEKASJ7K4PJ1,,
DDG|EANJVKFHMSZ8,DDG,EANJVKFHMSZ8,"GULF FASTENER, INC.",423710,Hardware Merchant Wholesalers,EANJVKFHMSZ8,"GULF FASTENER, INC.",EANJVKFHMSZ8,,
DDG|J8ATNVMEGLK1,DDG,J8ATNVMEGLK1,"CHAND, L.L.C.",423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,MQDVMWB54XH4,"BOLLINGER SHIPYARDS, INC",J8ATNVMEGLK1; MQDVMWB54XH4,,
DDG|S3GFGJ1QGAE6,DDG,S3GFGJ1QGAE6,"M.S.M. INDUSTRIES, INC.",326291,Rubber Product Manufacturing for Mechanical Use,,,,,
DDG|VJHFDLA3NLG8,DDG,VJHFDLA3NLG8,BRADKEN INC,331513,Steel Foundries (except Investment),FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7,,
DDG|ZMBFGXHLGLM3,DDG,ZMBFGXHLGLM3,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,336611,Ship Building and Repairing,E5K9VR2A1MW9,BAE SYSTEMS PLC,E5K9VR2A1MW9,,
DDG|RLXQHCXFT513,DDG,RLXQHCXFT513,CUNICO CORPORATION,332996,Fabricated Pipe and Pipe Fitting Manufacturing,VDSCUPC2H3K7,Citadel Capital Corporation,VDSCUPC2H3K7,,
DDG|JGNYLKEPEBL4,DDG,JGNYLKEPEBL4,"PEMCO-NAVAL ENGINEERING WORKS, INC.",332312,Fabricated Structural Metal Manufacturing,,,,,
DDG|DV6YQV71ME11,DDG,DV6YQV71ME11,Mar-Vac Products Inc,,n/a (no SAM record),,,,,
DDG|DW33W8L3N1P8,DDG,DW33W8L3N1P8,"PHOENIX GROUP OF VIRGINIA, INC.",541330,Engineering Services,,,,,
DDG|UTWXQFNH47D5,DDG,UTWXQFNH47D5,"MEGGITT (NORTH HOLLYWOOD), INC.",,n/a (no SAM record),TKJ1TW2YRNL3,MEGGITT PLC,TKJ1TW2YRNL3,,
DDG|CXZ9PUEZ5SQ7,DDG,CXZ9PUEZ5SQ7,BLACK & DECKER (U.S.) INC.,337127,Institutional Furniture Manufacturing,RC1NNGFRMMM7,"STANLEY BLACK & DECKER, INC.",CXZ9PUEZ5SQ7; RC1NNGFRMMM7,,
DDG|CJF6S4UR1LM8,DDG,CJF6S4UR1LM8,EVOQUA WATER TECHNOLOGIES LLC,221310,Water Supply and Irrigation Systems,W1NCJ8ATWDN7,Evoqua Water Technologies Corp.,W1NCJ8ATWDN7,,
DDG|M8ZHL8ZXGQP5,DDG,M8ZHL8ZXGQP5,"CHROMALOX, INC.",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,EREJZHBM5MU1,SPIRAX-SARCO ENGINEERING PLC,E2UWVCT7GDJ4; EREJZHBM5MU1,,
DDG|CAKCE9S4WL78,DDG,CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",423690,Other Electronic Parts and Equipment Merchant Wholesalers,CAKCE9S4WL78,"AZTEC GLOBAL SOLUTIONS, INC.",CAKCE9S4WL78,,
DDG|DJG7NEG7QRK5,DDG,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",332911,Industrial Valve Manufacturing,FBJ9NCJE2J56,"HUNT VALVE COMPANY, INC.",FBJ9NCJE2J56; MENSE2ENG8J6,,
DDG|G15JF2TNVBL6,DDG,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,336611,Ship Building and Repairing,G15JF2TNVBL6,SIGNET MARITIME CORPORATION,G15JF2TNVBL6,,
DDG|P4XPJNTCHB68,DDG,P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,331513,Steel Foundries (except Investment),P4XPJNTCHB68,SCHOELLHORN - ALBRECHT MACHINE CO INC,P4XPJNTCHB68,,
DDG|YD6LTFVUZNG1,DDG,YD6LTFVUZNG1,RAYTHEON COMPANY,541512,Computer Systems Design Services,PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,EGAVSJTA2D81; PPLZG8J3N9D4,,
DDG|KB45YQR3KSL5,DDG,KB45YQR3KSL5,"MISSISSIPPI SECURITY POLICE, INC.",561612,Security Guards and Patrol Services,KB45YQR3KSL5,MISSISSIPPI SECURITY POLICE INC,KB45YQR3KSL5,,
DDG|FJMAMQK89ZB8,DDG,FJMAMQK89ZB8,"CAMERON TECHNOLOGIES US, INC.",,n/a (no SAM record),W1LDBNHD4EM7,Schlumberger N.V.,W1LDBNHD4EM7,,
DDG|JK4WJKLD44G9,DDG,JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",331529,Other Nonferrous Metal Foundries (except Die-Casting),JK4WJKLD44G9,"METALTEK INTERNATIONAL, INC.",JK4WJKLD44G9,,
DDG|G9N1X873CYJ6,DDG,G9N1X873CYJ6,THE TIMKEN COMPANY,332991,Ball and Roller Bearing Manufacturing,H4FZBFXLJ636,"TIMKEN COMPANY, THE",H4FZBFXLJ636,,
DDG|KHK8QYLFGLU1,DDG,KHK8QYLFGLU1,Rolls-Royce Corporation,541330,Engineering Services,F32RBQ3CHAG9,ROLLS-ROYCE HOLDINGS PLC,F32RBQ3CHAG9,"The Indianapolis Rolls-Royce Corporation entity supplies the gas-turbine prime movers used in DDG-51 ship-service generator sets: the 501-K34 in the AG9140 and the MT5S in the Flight III AG9160. This is the engine-manufacturing role, distinct from Walpole’s propeller/propulsor work.","https://www.rolls-royce.com/media/our-stories/discover/2017/power-surge-ag9160.aspx
https://www.rolls-royce.com/media/our-stories/discover/2022/celebrating-50-years-of-delivering-marine-gas-turbine-generators.aspx"
DDG|VXJMLWN9XU18,DDG,VXJMLWN9XU18,"BRADKEN - ATLAS, LLC",,n/a (no SAM record),FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7,,
DDG|WWMME88ERQG5,DDG,WWMME88ERQG5,"BESTWELD, INC.",332996,Fabricated Pipe and Pipe Fitting Manufacturing,WWMME88ERQG5,BESTWELD INC,WWMME88ERQG5,,
DDG|FUNJJEK23XN5,DDG,FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",423840,Industrial Supplies Merchant Wholesalers,FUNJJEK23XN5,"TCH DISTRIBUTORS, LLC",FUNJJEK23XN5,,
DDG|DQLZFV6PFCB9,DDG,DQLZFV6PFCB9,"TATE ANDALE, LLC",332911,Industrial Valve Manufacturing,DQLZFV6PFCB9,"TATE ANDALE, LLC",DQLZFV6PFCB9,,
DDG|XFM4VGW1NBE4,DDG,XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",XFM4VGW1NBE4,"L.C.DOANE COMPANY,THE",XFM4VGW1NBE4,,
DDG|MSYWUDGYPKF5,DDG,MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",332420,Metal Tank (Heavy Gauge) Manufacturing,C8TMP34LW2L6,EVEREST KANTO CYLINDER LIMITED,C8TMP34LW2L6; RM4TFABVLPX4,,
DDG|YMKJUADMJN79,DDG,YMKJUADMJN79,"TRI-TEC MANUFACTURING, LLC",332911,Industrial Valve Manufacturing,JYTYZUGUN6V3,"TRI-TEC MANUFACTURING, LLC",JYTYZUGUN6V3,,
DDG|PW9GWUTL4KV5,DDG,PW9GWUTL4KV5,"Us, Inc.",336611,Ship Building and Repairing,PW9GWUTL4KV5,"Us, Inc.",PW9GWUTL4KV5,,
DDG|F98TZC6J5XV1,DDG,F98TZC6J5XV1,ARC TECHNOLOGIES LLC,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,U6F2GHCNNH47,HEXCEL CORPORATION,F98TZC6J5XV1; U6F2GHCNNH47,,
DDG|LG8PRS9MR697,DDG,LG8PRS9MR697,SFC Valve Corporation,332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,
DDG|J7JJKMJGC7K1,DDG,J7JJKMJGC7K1,"NAC GROUP, INC.",423690,Other Electronic Parts and Equipment Merchant Wholesalers,J7JJKMJGC7K1,"NAC GROUP, INC.",J7JJKMJGC7K1,,
DDG|ZFN2JJXBLZT3,DDG,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,336411,Aircraft Manufacturing,ZFN2JJXBLZT3,LOCKHEED MARTIN CORPORATION,ZFN2JJXBLZT3,,
DDG|D9T3VK42BLV7,DDG,D9T3VK42BLV7,"MILWAUKEE COMPOSITES, INC.",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,,,,
DDG|HNJDANSKDZK9,DDG,HNJDANSKDZK9,"SPECTRONICS, INC.",,"n/a (SAM record, no NAICS)",HNJDANSKDZK9,"Spectronics, Inc.",HNJDANSKDZK9,,
DDG|M467BSNHK9J8,DDG,M467BSNHK9J8,KATO ENGINEERING INC.,335312,Motor and Generator Manufacturing,MKRBJA6JXXS7,EMERSON ELECTRIC CO.,MKRBJA6JXXS7,,
DDG|LRYRHNM7EHJ8,DDG,LRYRHNM7EHJ8,"GAYLORD INDUSTRIES, INC.",332322,Sheet Metal Work Manufacturing,RTYDEXYNEZS1,ILLINOIS TOOL WORKS INC.,RTYDEXYNEZS1,,
DDG|MHR1KKAZ1NH5,DDG,MHR1KKAZ1NH5,"EDRO CORPORATION, THE",333310,Commercial and Service Industry Machinery Manufacturing,,,,,
DDG|W2H3SYSJNLK5,DDG,W2H3SYSJNLK5,Arastaff,,n/a (no SAM record),,,,,
DDG|C1NAJQ34VWM5,DDG,C1NAJQ34VWM5,CAMERON ENERGY SERVICES CORP.,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,,,
DDG|JK16ZQ9FRJ51,DDG,JK16ZQ9FRJ51,TAVERNIER DIDIER,,"n/a (foreign, no SAM record)",,,,,
DDG|CBMZJ3Z5SC89,DDG,CBMZJ3Z5SC89,GOODRICH CORPORATION,326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",PPLZG8J3N9D4,RAYTHEON TECHNOLOGIES CORPORATION,EGAVSJTA2D81; PPLZG8J3N9D4,,
DDG|NL7RNBHWHJQ1,DDG,NL7RNBHWHJQ1,DRS TECHNOLOGIES CANADA LTD,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,W8PTMRME1496,LEONARDO SPA,W8PTMRME1496,"DRS Technologies Canada in Ottawa produces naval communications equipment such as secure shipboard terminals, telephones, headsets, and associated electronics. Public award data supports those product lines for this UEI, but the exact DDG-51 installation represented by the subaward is not disclosed.","https://www.highergov.com/awardee/drs-technologies-canada-ltd-10111589/
https://spendingvault.com/recipients/NL7RNBHWHJQ1/"
DDG|W2GBUE64GMZ6,DDG,W2GBUE64GMZ6,"DERBYSHIRE MARINE PRODUCTS, LLC",332912,Fluid Power Valve and Hose Fitting Manufacturing,,,,,
DDG|JKPCAKFW8X93,DDG,JKPCAKFW8X93,AMERICAST TECHNOLOGIES INC,,"n/a (SAM record, no NAICS)",FLU4K8MGMZX7,"HITACHI, LTD.",FLU4K8MGMZX7,,
DDG|NJBMT6E7P7B4,DDG,NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC.,332312,Fabricated Structural Metal Manufacturing,NJBMT6E7P7B4,INTERNATIONAL WELDING & FABRICATION INC,NJBMT6E7P7B4,,
DDG|DKJ1R5ABCN48,DDG,DKJ1R5ABCN48,SERCO INC.,541990,"All Other Professional, Scientific, and Technical Services",FC3YWXFNT7U6,SERCO GROUP PLC,FC3YWXFNT7U6,,
DDG|FWF8QBPCGLG3,DDG,FWF8QBPCGLG3,GENERAL TOOL COMPANY,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,FWF8QBPCGLG3,GENERAL TOOL COMPANY,FWF8QBPCGLG3,,
DDG|T99DCLB5NRH7,DDG,T99DCLB5NRH7,"OCENCO, INCORPORATED",332911,Industrial Valve Manufacturing,T99DCLB5NRH7,"OCENCO, INCORPORATED",T99DCLB5NRH7,,
DDG|PDZUR2FMYD89,DDG,PDZUR2FMYD89,"RANGER ENVIRONMENTAL SERVICES, LLC",562910,Remediation Services,PDZUR2FMYD89,RANGER ENVIRONMENTAL SERVICES LLC,PDZUR2FMYD89,,
DDG|MYJHF1S2HGV5,DDG,MYJHF1S2HGV5,"EPSILON SYSTEMS SOLUTIONS, INC.",336611,Ship Building and Repairing,G4PWHUXGV5K5,,G4PWHUXGV5K5; KFP1XYK24DZ8; MYJHF1S2HGV5,,
DDG|KK9FFUUML8N1,DDG,KK9FFUUML8N1,ABC APPLICATORS INC,238320,Painting and Wall Covering Contractors,N1UBBGCNNB38,,N1UBBGCNNB38,,
DDG|REXPSJ7NAHU8,DDG,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,332919,Other Metal Valve and Pipe Fitting Manufacturing,REXPSJ7NAHU8,DERBYSHIRE MACHINE & TOOL CO,REXPSJ7NAHU8,,
DDG|LQP7LJVDX6M6,DDG,LQP7LJVDX6M6,"WESCO DISTRIBUTION, INC.",423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",LU7KP9UJJ5L7,"WESCO INTERNATIONAL, INC.",LU7KP9UJJ5L7,,
DDG|WPP2ABN6UCF5,DDG,WPP2ABN6UCF5,"L3 TECHNOLOGIES, INC.",334290,Other Communications Equipment Manufacturing,XXP4PLFFFGK9,"L3 TECHNOLOGIES, INC.",XXP4PLFFFGK9,"This UEI is L3Harris Henschel’s Norfolk ship-control business. It supplies machinery-control and monitoring equipment—operator consoles, control panels, alarms, and associated shipboard control electronics—for naval vessels; public sources do not itemize the exact DDG-51 cabinet or console in this subaward.","https://app.g2xchange.com/companies/WPP2ABN6UCF5
https://www.highergov.com/awardee/l3-technologies-inc-10107051/
https://www.l3harris.com/all-capabilities/ship-control-systems"
DDG|WAK3LFCLKJR4,DDG,WAK3LFCLKJR4,BELL STEEL COMPANY,332312,Fabricated Structural Metal Manufacturing,WAK3LFCLKJR4,BELL STEEL COMPANY,WAK3LFCLKJR4,,
DDG|QV38GMJUBJQ3,DDG,QV38GMJUBJQ3,L3HARRIS MARITIME SERVICES INC,336611,Ship Building and Repairing,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC",SJULQDJ8NZU7,"L3Harris Maritime Services in Norfolk provides shipyard production labor and installation services, including welding, pipefitting, shipfitting, blasting/painting, and equipment installation. Public sources do not disclose the exact DDG-51 work package, but this is a hands-on construction/service role rather than an equipment-manufacturing role.",https://www.highergov.com/awardee/l3harris-maritime-services-inc-10111066/
DDG|TMDVSPNEFR69,DDG,TMDVSPNEFR69,"Ives Equipment, LLC",423840,Industrial Supplies Merchant Wholesalers,TMDVSPNEFR69,"Ives Equipment, LLC",TMDVSPNEFR69,,
DDG|N9DVRB18H324,DDG,N9DVRB18H324,ELLWOOD CITY FORGE COMPANY,332111,Iron and Steel Forging,SVXNHLLWX953,,SVXNHLLWX953,Supplies DDG-51 propulsion shaft forgings/shaft components. A public subaward source associates Ellwood National Forge with DDG FY23-27 work and a forward propulsion-shaft description; Ellwood National Forge capabilities cover large open-die forgings for naval/defense applications.,https://www.highergov.com/subcontract/N0002423C2307-1296525-1/; https://www.ellwoodnationalforge.com/capabilities/forging/; https://www.timesobserver.com/news/local-news/2019/09/ellwoods-evolution/; https://www.ellwoodgroup.com/
DDG|GKN9NW23L2L9,DDG,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",332919,Other Metal Valve and Pipe Fitting Manufacturing,GKN9NW23L2L9,"HYSPAN PRECISION PRODUCTS, INC.",GKN9NW23L2L9,,
DDG|KTMAJCY6JXM3,DDG,KTMAJCY6JXM3,"LEIDOS, INC.",541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",ZL41ERXMPAR3,"LEIDOS HOLDINGS, INC.",ZL41ERXMPAR3,,
DDG|CJ8CQLEM2RW3,DDG,CJ8CQLEM2RW3,"SYSCO USA II, LLC",424410,General Line Grocery Merchant Wholesalers,HTHZV61C5DV8,SYSCO CORPORATION,HTHZV61C5DV8,,
DDG|V16LFA3JDR14,DDG,V16LFA3JDR14,Limitorque Corporation,,n/a (no SAM record),,,,,
DDG|LN9YKAX66918,DDG,LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,LN9YKAX66918,"KULITE SEMICONDUCTOR PRODUCTS, INC",LN9YKAX66918,,
DDG|YHGHMGTME7A5,DDG,YHGHMGTME7A5,HOWDEN AMERICAN FAN COMPANY,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,ZTPLJJTAD2F4,"CHART INDUSTRIES, INC",ZTPLJJTAD2F4,,
DDG|XK8VBJ94L4E9,DDG,XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",332912,Fluid Power Valve and Hose Fitting Manufacturing,XK8VBJ94L4E9,"AEROSPACE SUPPLY, INC",XK8VBJ94L4E9,,
DDG|C4C1WKKFJ8H5,DDG,C4C1WKKFJ8H5,ENERGY RENTAL SOLUTIONS LLC,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,,,,,
DDG|VD5WUGZUCJ44,DDG,VD5WUGZUCJ44,"Triple Son Wholesale Timber, Inc.",,n/a (no SAM record),,,,,
DDG|JFEWJZWTH4W4,DDG,JFEWJZWTH4W4,The Tool House Inc,423830,Industrial Machinery and Equipment Merchant Wholesalers,JFEWJZWTH4W4,The Tool House Inc,JFEWJZWTH4W4,,
DDG|SLTUM1DV4433,DDG,SLTUM1DV4433,"PARASENSE, INC",334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",NPKVXNRA1XT3,PARASENSE LIMITED,NPKVXNRA1XT3; QN84GSHNM1M7; S987C2WHMF29,,
DDG|FRJQGQHDX4J3,DDG,FRJQGQHDX4J3,"L3 TECHNOLOGIES, INC.",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,SJULQDJ8NZU7,"L3HARRIS TECHNOLOGIES, INC.",SJULQDJ8NZU7,"This UEI is L3’s Communications Systems-West operation in Salt Lake City, a manufacturer of secure tactical communications electronics. I found no public evidence identifying a distinct DDG-51 construction item supplied by this entity.","https://www.highergov.com/awardee/l3-technologies-inc-10111681/
https://www.l3harris.com/all-capabilities/tactical-communications"
DDG|JU7ZGUDEJA79,DDG,JU7ZGUDEJA79,RAILWAY SPECIALTIES CORPORATION,332322,Sheet Metal Work Manufacturing,,,,,
DDG|H11HD5VHGHN3,DDG,H11HD5VHGHN3,Lockheed Martin Corporation,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",H11HD5VHGHN3,Lockheed Martin Corporation,H11HD5VHGHN3,,
DDG|N5RJW5NX32Y1,DDG,N5RJW5NX32Y1,W R SYSTEMS LTD.,541330,Engineering Services,N5RJW5NX32Y1,W R SYSTEMS LTD.,N5RJW5NX32Y1,,
DDG|NGE4ALP2M661,DDG,NGE4ALP2M661,"WEAVER SUPPLY COMPANY, LLC",423840,Industrial Supplies Merchant Wholesalers,,,,,
DDG|RYRLL49HWN65,DDG,RYRLL49HWN65,BAKER SHEET METAL CORPORATION,332322,Sheet Metal Work Manufacturing,,,,,
DDG|UWH5HRSJ5ES7,DDG,UWH5HRSJ5ES7,AUTOMATIC COATING LIMITED,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,,,,
DDG|TKE2CB4A5YW4,DDG,TKE2CB4A5YW4,HONEYWELL INTERNATIONAL INC.,334519,Other Measuring and Controlling Device Manufacturing,YBVGQEYENNM6,HONEYWELL INTERNATIONAL INC.,FKBHDS7BRJF4; YBVGQEYENNM6,,
DDG|MKGCWL2DHBT4,DDG,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,335929,Other Communication and Energy Wire Manufacturing,MKGCWL2DHBT4,MARINE TECH WIRE & CABLE INC,MKGCWL2DHBT4,,
DDG|XK68QNYRQCH8,DDG,XK68QNYRQCH8,"AMERICAN BOA, INCORPORATED",332919,Other Metal Valve and Pipe Fitting Manufacturing,K1M4HECUHKR4,AEA Europe Fund L.P.,K1M4HECUHKR4,,
DDG|M6ZTA4NZGLQ5,DDG,M6ZTA4NZGLQ5,"ANDERSON METAL INDUSTRIES, INC.",332710,Machine Shops,,,,,
DDG|CW48SQ7KJX68,DDG,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",336611,Ship Building and Repairing,CW48SQ7KJX68,"CRAFT MACHINE WORKS, INC.",CW48SQ7KJX68,,
DDG|XGUEGCF761T9,DDG,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,327910,Abrasive Product Manufacturing,XGUEGCF761T9,THE LOUISIANA ASSOCIATION FOR THE BLIND,XGUEGCF761T9,,
DDG|LX5BF78ZTHW4,DDG,LX5BF78ZTHW4,"HDT EXPEDITIONARY SYSTEMS, INC.",,n/a (no SAM record),XJMEFDTH72U5,"Hdt Global, Inc.",SPJDDHTQBSY9; XJMEFDTH72U5,,
DDG|EEJPJ342F3P1,DDG,EEJPJ342F3P1,"TABET MANUFACTURING COMPANY, INC.",332322,Sheet Metal Work Manufacturing,EEJPJ342F3P1,TABET MANUFACTURING CO INC,EEJPJ342F3P1,,
DDG|FNQSY3S2MCM9,DDG,FNQSY3S2MCM9,"STS OPERATING, INC.",333996,Fluid Power Pump and Motor Manufacturing,RU42J22YFWW5,"STS OPERATING, INC.",RU42J22YFWW5,,
DDG|TAB4FBLR5UM1,DDG,TAB4FBLR5UM1,ANIXTER INC.,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",HT2SC8NC87E1,ANIXTER INTERNATIONAL INC.,HT2SC8NC87E1; LU7KP9UJJ5L7,,
DDG|HA3GWLK3JK58,DDG,HA3GWLK3JK58,Evoqua Water Technologies LLC,221310,Water Supply and Irrigation Systems,WMKNZ361LYM4,"EVOQUA WATER TECHNOLOGIES, LLC",WMKNZ361LYM4,,
DDG|LSGYNGHKB863,DDG,LSGYNGHKB863,DEBAN ENTERPRISES INC,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,,,,
DDG|GNFJGT9MKJW5,DDG,GNFJGT9MKJW5,"CONNECTICUT VALLEY INDUSTRIES, LLC",335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",,,,,
